"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"50",0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,11,0,0,0,0,0
"51",0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,11,0,0,0,0
"52",0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,11,0,0,0
"53",0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,11,0,0
"54",0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,11,0
"55",0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,11
"56",0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0
"57",6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0
"58",1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4,0
"59",0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,4
"60",0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0
"61",1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0,0
"62",0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0,0
"63",1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5,0
"64",0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0,5
"65",11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0,0
