"drain","point","time","meters","iteration","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359","X360","X361","X362","X363","X364","X365","X366","X367","X368","X369","X370","X371","X372","X373","X374","X375","X376","X377","X378","X379","X380","X381","X382","X383","X384","X385","X386","X387","X388","X389","X390","X391","X392","X393","X394","X395","X396","X397","X398","X399","X400","X401","X402","X403","X404","X405","X406","X407","X408","X409","X410","X411","X412","X413","X414","X415","X416","X417","X418","X419","X420","X421","X422","X423","X424","X425","X426","X427","X428","X429","X430","X431","X432","X433","X434","X435","X436","X437","X438","X439","X440","X441","X442","X443","X444","X445","X446","X447","X448","X449","X450","X451","X452","X453","X454","X455","X456","X457","X458","X459","X460","X461","X462","X463","X464","X465","X466","X467","X468","X469","X470","X471","X472","X473","X474","X475","X476","X477","X478","X479","X480","X481","X482","X483","X484","X485","X486","X487","X488","X489","X490","X491","X492","X493","X494","X495","X496","X497","X498","X499","X500","X501","X502","X503","X504","X505","X506","X507","X508","X509","X510","X511","X512","X513","X514","X515","X516","X517","X518","X519","X520","X521","X522","X523","X524","X525","X526","X527","X528","X529","X530","X531","X532","X533","X534","X535","X536","X537","X538","X539","X540","X541","X542","X543","X544","X545","X546","X547","X548","X549","X550","X551","X552","X553","X554","X555","X556","X557","X558","X559","X560","X561","X562","X563","X564","X565","X566","X567","X568","X569","X570","X571","X572","X573","X574","X575","X576","X577","X578","X579","X580","X581","X582","X583","X584","X585","X586","X587","X588","X589","X590","X591","X592","X593","X594","X595","X596","X597","X598","X599","X600","X601","X602","X603","X604","X605","X606","X607","X608","X609","X610","X611","X612","X613","X614","X615","X616","X617","X618","X619","X620","X621","X622","X623","X624","X625","X626","X627","X628","X629","X630","X631","X632","X633","X634","X635","X636","X637","X638","X639","X640","X641","X642","X643","X644","X645","X646","X647","X648","X649","X650","X651","X652","X653","X654","X655","X656","X657","X658","X659","X660","X661","X662","X663","X664","X665","X666","X667","X668","X669","X670","X671","X672","X673","X674","X675","X676","X677","X678","X679","X680","X681","X682","X683","X684","X685","X686","X687","X688","X689","X690","X691","X692","X693","X694","X695","X696","X697","X698","X699","X700","X701","X702","X703","X704","X705","X706","X707","X708","X709","X710","X711","X712","X713","X714","X715","X716","X717","X718","X719","X720","X721","X722","X723","X724","X725","X726","X727","X728","X729","X730","X731","X732","X733","X734","X735","X736","X737","X738","X739","X740","X741","X742","X743","X744","X745","X746","X747","X748","X749","X750","X751","X752","X753","X754","X755","X756","X757","X758","X759","X760","X761","X762","X763","X764","X765","X766","X767","X768","X769","X770","X771","X772","X773","X774","X775","X776","X777","X778","X779","X780","X781","X782","X783","X784","X785","X786","X787","X788","X789","X790","X791","X792","X793","X794","X795","X796","X797","X798","X799","X800","X801","X802","X803","X804","X805","X806","X807","X808","X809","X810","X811","X812","X813","X814","X815","X816","X817","X818","X819","X820","X821","X822","X823","X824","X825","X826","X827","X828","X829","X830","X831","X832","X833","X834","X835","X836","X837","X838","X839","X840","X841","X842","X843","X844","X845","X846","X847","X848","X849","X850","X851","X852","X853","X854","X855","X856","X857","X858","X859","X860","X861","X862","X863","X864","X865","X866","X867","X868","X869","X870","X871","X872","X873","X874","X875","X876","X877","X878","X879","X880","X881","X882","X883","X884","X885","X886","X887","X888","X889","X890","X891","X892","X893","X894","X895","X896","X897","X898","X899","X900","X901","X902","X903","X904","X905","X906","X907","X908","X909","X910","X911","X912","X913","X914","X915","X916","X917","X918","X919","X920","X921","X922","X923","X924","X925","X926","X927","X928","X929","X930","X931","X932","X933","X934","X935","X936","X937","X938","X939","X940","X941","X942","X943","X944","X945","X946","X947","X948","X949","X950","X951","X952","X953","X954","X955","X956","X957","X958","X959","X960","X961","X962","X963","X964","X965","X966","X967","X968","X969","X970","X971","X972","X973","X974","X975","X976","X977","X978","X979","X980","X981","X982","X983","X984","X985","X986","X987","X988","X989","X990","X991","X992","X993","X994","X995","X996","X997","X998","X999","X1000"
0,"N0",0,0,1,524139098,13953,1268048802,4989,37927,5136937,685125616,878240,2886478,402893,245347903,11844,197151269,135836,1073575184,400862,26789,127233,60315,3864,11271730,58147,7393,447104,6178150,2441459779,2278978,1554283,836278,52750282,1963968,17013270247,134300,1185051663,42217831,1025203,5425835,697069,27231115,36120657792,1503847648,3646482946,643308209,12096761833,74854,145208911,26260234758,1034336412,12264488,8618068826,136454415,1083486,8146953,45456288,1217622,6609493017,134486,21257132,604119,83829078,181317,569176274,5013839506,221905238,107744322,42096092,12064605,1480990,8075204,21852103304,5071847309,231985,20728352358,2653913643,1329192731,306606243,9834871,2210784,43297913,146475469,500804245,1534399,49140900,9737227,25745272,2630712,6115301544,340288,759689430,52802,72753,1059307211,1204226936,214691,259024,161891269,195570160,14799448,1714608,31567379,168714493,61424484222,86171665,17064332,428122042,12855498,462082059,111320630,23953532366,5014906,95083,21776328228,349002,826916,1004292564,2602017072,678314245,7155685,10167131615,43040388250,533583981,301661789,2917247,12014040,342433,14680601667,143894677,771196226,22227184,246493,208637219,13913613,64049482,1639613711,226250568,115722,7553739419,2308540848,266965755,23137,5505962607,262617798,10997040738,1047954,160300,1204846369,63193407,236335698,1059479,4444595,5871399,1691649,3517669,1276152,15613163680,293778,2134337,76607,2752265,348947,7627600177,51304,3395894006,43211,538860,42877140,29665,142801,18118617,457189,15441384,5614847905,1874903,78573702,1331973,97940,9095839938,885693637,17879269666,265241,32574473370,569919,640851320,131464,144996,141188,35933649524,270846,22507285158,62642,1953443643,6641260628,1400397,2506460,9245405,2153158,107083861,5723757,373965911,512557579,1178419899,8951169771,861020,822712081,7240912981,28532516,262477,1687376,1687248,1543925510,1236808,345809398,1406935,1070846227,8999059,136173,930668186,672341253,7497786,4323988933,388297073,1629995590,154109825,999195720,285262700,3923811,251878,216011273,3599292725,4459190147,613630,122295432,77205728,16922950,8533644,203933,4185359584,323334,606241201,47514037,11981383651,1451572,38971599,2224961671,246033681,209052168,3020613,107846,17656660,103430,965835,124860795,244161440,520619,37153144,123402,58251,286270422,669213,521372,3425252,10416013,1263348757,1077355572,173967985,22790926454,8112739767,3538664,72453849,12112441,329459550,64182596,13486189,148157,3981897209,1202908,222646212,282862615,89091247,445342,8060925,4697203238,82923556,259335055,439394,33138076,61272426,503512,1128404,47738361,681168585,7017485273,3503138,582019499,445870144,441872181,2440531287,1420637338,11490987,3601524,39939163,48174004,64601,51896,1559646861,1406574,1614278,1967517,1042077,798868,1803820,40680168,5270760,10293048463,399226346,2832405561,41839057,3147503,180307,12306217,87992556,10479443,17118753212,10876677630,880443827,2055619,43211718,490303144,8050141,151750127,1113425,84970,7531935620,623341008,32107573923,12418172,218802469,141788261,116711,3853158260,51094942,15377384261,49611,2106864577,6113936948,48068913,18455839,23328461,7857017756,506831747,1588552,3195161,33874143,536405092,5708400142,16916412364,13988923,2650908873,75534,1254161,176584973,144767933,14824429310,5284684550,4741211,69951930,2191192587,3110911,6986471651,32959666,1467580,1834946036,11402528,4559799078,3335100,52276,559430533,87990190,301863626,38947,3029480482,51603,5780117060,50511,21959601057,10639841,99905645,27493177301,3248880358,480530,5804115803,271792,832967,2012697,17402316,364877505,807045850,15417904,4215424,170919632,3260477865,75884020,114461317,63388,1685945554,66015745,18323862163,6959564,37585,27492,5995201652,13714955627,165254,76945012,203707494,677179281,67215812,1359179883,446394,85897,617281,41852985,1239250,6826622445,43425799,180946620,6319032556,16979913815,19353075,216233116,6626339,1272710,7335852,762360,464216,5930015,561820743,2328164486,482408217,17732,763714699,2548293771,735934532,64537,827150121,353676,89763840,14488315,1827287,2476265,132962124,180623,991848686,758512,18111353,180861969,141886918,8733139074,138694921,1306405281,619207312,232465692,227937996,914772,12854031,793699,3520558,67123,13262129,92410,29663432,505304,27860268467,15102187,777549,50599781,4851758488,13440716515,4784393424,11356333,7008670,53151,27006354437,4486848,7390204,1518924,64997278,219392,519120,113915816,495665,30473056587,1028286557,741402,74070868,221686,188331336,12269144289,161146,3528642,2741694,371059724,1629624772,396962,182886933,184232717,54340,131902,96787961,307797,74531,51379880,40173106,1609567745,9891758759,92587559,4108893424,52585065,1151799,15361541,1001354,2659386,1422538692,5797087885,2172008,96811,339151,12760787,14845474,2289852356,86627,4165829509,874338257,9197814,7276237345,26139675658,48008090,2437353,2368597622,13472377,374074,31358006082,329574983,364099414,11250997,2400959826,3943764,1679215,71736,2700503,342543803,17887085803,7488469197,84177997,3447761,706696033,1183688791,898469825,12037751,8667392095,1239182,101003572,18262468,715117444,993638,18141670605,200077,590639049,221603531,3134155634,9572069871,957149795,39355596360,448077,5838529651,1130642,306084364,164938,13095040599,1195319,44485056478,2435846,8806663,55272170,417773339,292857,7019543,77660418,53080796,282530654,952031,3847810963,594752308,109992462,287980,3548637924,10543312251,7100762923,11429427494,6051393697,2913736,370458095,8815710351,1573179383,12457935856,646113,8803221,4283828,2157601853,28373,38127532,5815137725,9898559035,164408706,987593936,6694594,2828472560,1347981,8717670,2790618,448240,60312,13676807846,43700,1189017380,1207943115,76437,214286,1606064725,56953829,338135183,78360,1176127041,8067329,28925024,4696811273,60068411846,997015,2023755795,9824995174,505634,128421219,256699,133338046,422023248,48686001,54040353,62989,69513,20381706,18388822,428202,264588981,764589459,35722722335,1130958,4391643,622809482,5985968,3127213,11195056,21174799,11178782,107482,30267001868,6328962,30901698,25447648684,6960008,838395,36579274,40276826,905340237,63028969,1333139999,2265931,11502961221,25015202975,35237875936,305787,8335924304,28110809,35967255,1910681,626084,125567701,4803351213,190500312,328476,4424214224,38262,2003233739,5003652,5602584600,165929,50776561,73389,1155364,4004420,15458497,1599811,238058,57614,149756012,231855,134526,114075,312848,3301758,148947,876696,3647578,290303,1023118,8248503437,7747996,1163083743,1178977623,1569520,5069028064,48265,61731,3011863596,524849195,4516723,1688971,358680,11758963,3397762775,1483565,20657535000,2984473156,1685091577,594060594,4288874,86541,31810363160,410662,44776,1085595053,169422,1014650153,56758,2913091,33555167,3440535887,998769082,142669,1670833,2388528260,749141,14790330,905457,114812788,143001478,45987145,7732391755,33389119,3374647276,40817988,10544674,570631,566526957,207223543,144609469,9509149863,124892844,1234806936,4653400,5542102849,478445,254675289,2804428603,1375329975,8263861,139807,451287320,2629934,16891563,64179656144,3954412628,557198883,1795611281,30722212940,6046700565,11692632,1660884392,4501213,4673227,1682652,1735381,2730441318,1012351166,5616165196,535536209,534676962,74906008,94236,27510947,312750,32276696,3036073,337333,156305791,277863,20917214,17039414,360613,1465220463,678738,30988277506,1215532863,74631,6741254,4597895654,3727318,5003226,318408714,19217296,553326236,15406454,3183795,858289,543138,19969979,26106524553,35067401060,861242343,489169105,3776129859,13410532752,326174,61586095,163993071,4610937601,2001117,44213,711115294,59249303,4996653319,4814131421,32912379,397089,685801,1187823983,125121,23338103887,1191987,3339129612,125054157,6541461712,6522737,1239449341,272523669,11076932,92029003,92992420,1706453,144380866,1505385,988773,91592,241430,66574,567431,38985620387,245787,65715,8556749336,42990115,520248,25118905697,42258909,164511522,508183354,26483753,53129,61080288,889957712,2232044397,286677,353434801,76768513,883047,8533480,23355,425929,50201925,1693062834,476678278,35222097,1160338848,21208596685,2203019005,531166,114691,292861494,9461304,51309,5993208265,3963495795,3836863422,1599754,10632475633,66753204,4416501,19914119,36738457,3121826,896150853,403358511,136249259,29589327135,18079483,75660090,163081,3732940,899407,1946379,5163763,4258806,1954866628,65385100875,614646,4394063186,124214225,448212689,614260,136374,917039003,29342775522,10238843946,33205342915,133726506,62413534923,1136481,2176324,336382,1050399106,6503564,2574468,405980654,1882954143,10819048141,12570708,683572,2052363,1690634,128071,6074904075,62447,4064264,5478789,7533230,2838906,319890025,382339042,1048452,161455026,10554405,159943753,90734804,5480111,1129232,79831282,4174564112,1549678955,28178442,162225869,58659451,3395224,1734796,175128366,45080,56707868,1983583,641378,777416309,19553474,12398587,702339,30581615,1053350,689197,85640533,13273670,158810,4161384,5612453,119400,54814480,290136870,4246009,1315343517,1061220,20847867000,16180105893,97615041,362067,2124721489
0,"N1",14.91,621.39,1,4412,12537,17605,48338,2,39,9956,8309,75,51,410,9034,27,7774,15013,22152,5,0,2,2,257,449,0,2,81,41765,31435,26,28,488,761,179423,1246285,6949,11462,562,154,201,398,631909,1657085,22820,7192,436189,92794,1531,18800,746736,9361,15719,82461,6092,93,1555,805,90650,75125,153,761,1627,4747,4773,40972,98836,8760,10189,3081,105,116,134926,839700,120031,387738,110253,24721,30630,3464,398,126,6303,2028,8130,746,620,107,914,42004,4324,24090,39893,3,21744,35779,19029,0,1466,8121,5067,25,499,11439,1881094,781340,7041,8041,4546,1764,2945,245643,231660,227,1040341,1054749,38,4974,53819,161199,12200,244692,425883,1425179,8029,2180,297,576,49891,224901,42902,4873,673,643,18350,508,11737,33630,1255,13148,39775,52475,26455,40591,58210,23905,37401,14,4291,17078,2135,6976,247,39,78,121,310,44087,460969,13,162,82,163,254127,353708,76987,260223,6,592,597,0,161,722,120,17957,57666,260,2879,19,15179,303271,370113,200164,524733,195855,16004,28708,0,3,1637532,613442,245559,715590,27672,544170,8237,3,158,709,1830,2415,5834,10223,10141,112890,45307,14941,58434,343563,759,3,39,4109,75039,5992,965,1207,42016,52,5028,2463,23468,67500,243134,58589,85876,3257,8687,1074,62,3073,18509,108884,35079,1146,6084,3985,1314,51,107643,63194,30012,19583,131297,211471,307,37993,206689,14877,3364,335,182,91,20,2091,2612,16778,387,515,6,578,14547,15,18,44,37287,11216,35899,175533,670197,49036,77,8221,16334,26092,318,11,285982,59842,2982,5556,14353,7575,37,102984,29155,2336,4766,1761,1079,212,8,1175,42061,160575,196127,2499,30582,9942,59925,63503,52616,439,290,2948,2110,0,20189,3168,6,56,61,1,131,946,671,45183,78696,52973,72090,1476,67,221,1598,626,73079,797745,199024,43859,144,9877,2745,5082,2687,10,23810,144697,348019,1826292,814,10115,2783,24716,24328,444571,1170026,25428,33210,35463,4195,267,86884,293561,6263,180,332,7132,335135,3558,883851,35079,123181,42,1999,5647,555654,33366,48458,1383,56783,34223,1952,145014,525,22177,141432,8024,112707,196,3988,13751,10327,7066,1427,70319,127781,85967,268641,1079688,4128,1115390,85945,157203,3947,444402,5,7,454,5260,9374,5791,863,8696,129363,60670,12779,694,65451,55754,146099,312192,29,2,193582,482376,246291,2917,1802,25132,57158,37702,103096,6,23,113,607,63228,219139,2689,93672,99109,133903,1529,7886,203,265,49,2,36,1153,20368,161746,741,4331,110014,58906,11317,8363,40384,364,6467,94,43,1215,4344,17465,4079,477,2618,4781,53127,71154,1928,19444,10007,3146,10535,110,74,24,13,108,40,1158,334,59801,148539,81,869,166831,762123,206132,43698,567,106,960614,463227,238,246,3143,34,10,4744,2278,392867,361177,20619,1433,1812,3087,200748,465107,13,329,6326,13944,6094,303,7116,7025,2,2685,4356,1,960,1551,65030,34994,1047816,54387,24166,548,93,53,16,13766,92695,2378,202,10,166,1131,1014,30899,54066,264530,3407,7371,593729,666001,1102,10275,266563,203,885183,597623,3930,8783,96383,90028,91,138,95,3334,436460,61496,221509,923,36627,3724,34051,3458,21203,724097,362,7528,38423,28547,149134,460979,4471,42682,40072,574135,123185,1472320,322388,60583,15073,2991,824,33699,158444,4138,941603,300,4785,957,10833,162,1087,1512,1343,8850,70000,260100,12954,4745,8462,216776,176513,1351274,72382,402409,13530,115225,372545,5223,106838,226,101,9801,28354,568,190509,36404,439801,12532,9546,48314,143351,150,290,68,13,224318,195256,12398,6394,9443,5,9009,4570,5862,10540,2089,1364,1117,11188,872128,433386,29640,504048,412188,720,2606,1217,8898,9899,2145,538,0,33,237,1967,2195,2593,585240,965810,161,10819,14843,139,250,67,2274,643,749877,3118856,223,8948,874333,48,649,678,23075,43723,5357,28686,1223,1133777,3212421,2693720,26206,234908,1869,2573,5,1261,209975,142254,5577,97738,73231,76985,7261,51635,384715,2428,741,71,206,397,1047,77,0,355,268,19,12,4,38,255,25,137,22,45,85480,660441,1687,86567,46300,125221,27152,2,100442,30002,33682,142,1,202,104246,21190,191813,551886,36174,74221,61167,360,264519,243581,14,532,690,4447,17459,11,646,75477,51021,56830,60,38799,107800,167,128,1481,9339,3514,112093,52361,117895,65202,982,185,6539,25709,14869,361748,617835,52895,12427,72676,155582,694,122663,153876,28431,658,4958,2627,872,3033424,3544022,332800,4423,57785,51659,114281,10272,53594,69,143,11,31168,148688,46679,294009,15903,9616,378,1650,550,477,749,155,3059,6051,135,1703,1053,23953,18087,220516,209068,126919,204,24747,49263,130,1467,43529,845,42780,744,210,12,108,910889,2213413,498637,12397,24143,151776,806052,1753,2717,45522,157066,155,1262,47026,29419,41249,17050,914,53,7393,4644,69512,1998496,142205,13356,2706,51400,1955,33960,6701,73,10554,3219,1516,1454,91,19,9,13,25,324405,996335,2,576541,9835,1229,216976,792247,1366,8543,3660,127,541,4874,16844,144924,1591,4015,1289,91,477,7,3362,53042,14761,18917,591,440794,373066,157991,25,15345,5694,601,11689,164739,427019,106675,17581,952029,2055,36,506,1675,32636,26104,12899,342047,81752,3489,2171,55,231,84,1,28,33917,927158,1090582,50159,20363,7829,1980,1,23398,326288,92292,1133649,2198019,1395364,4197435,4,57,31575,29881,153,18644,11114,102525,576884,500,19,61,87,188599,165571,40,185,52,71,1522,14439,23063,2546,606,821,7182,6250,87,308,34862,125514,36583,4508,3097,1336,72,834,1276,53,2023,62,9009,2951,295,1346,138,405,6,1090,643,336,69,11,187,940,10082,4895,20060,113548,852791,1748353,1710960,624,843
1,"N2",3.7,1540.82,1,946,5471,3758,20765,1,5,2007,3462,18,24,80,3888,1,3415,3010,9456,4,0,1,1,50,182,0,1,11,8507,13160,10,8,107,314,36438,536656,1416,4884,241,36,83,86,129739,704272,6716,2991,97140,40223,293,3863,317055,4022,3120,34960,2605,37,410,350,18556,32589,34,327,361,1964,935,9910,41631,3327,3961,1177,52,32,27661,338550,52164,79327,45702,9294,12569,1468,177,38,1748,567,3563,152,271,31,368,8807,1838,4988,17031,0,4523,12143,8272,0,286,2804,2112,12,108,2938,386405,336300,2951,1770,1864,395,1165,51312,99674,83,214030,452849,12,1145,15862,64541,5347,49870,114426,610544,2906,933,90,228,10173,96570,11015,2059,296,129,7669,123,2544,14010,503,2771,15886,21758,11316,8369,24852,4989,16201,4,884,7199,550,2994,72,10,28,45,130,8974,197605,4,73,12,73,51993,152101,15991,111850,2,137,258,0,40,295,20,3746,24684,51,1282,8,3101,126801,81868,85633,107324,84931,3278,12268,0,5,335278,263747,50531,306732,5615,151399,3489,0,47,323,374,1016,1224,3308,3029,27588,19550,2935,13995,148094,322,1,8,834,31864,1314,438,257,18079,15,1026,930,10246,13664,101528,15606,36258,796,3435,425,23,616,4143,36436,15076,233,2205,1615,509,33,22178,27364,6189,8020,26998,91261,68,7953,86096,5253,1428,157,30,48,7,424,794,7094,97,209,1,123,6295,8,4,15,7607,3879,14926,36160,261166,21428,17,3361,3556,10595,131,2,58129,26009,591,1894,5775,3221,7,21086,12552,661,2067,318,319,97,5,221,9502,37760,84514,544,10977,3431,15298,23627,22470,166,62,950,871,0,4036,1377,3,33,23,1,59,197,274,9194,33597,12926,30546,668,34,42,353,231,14918,293580,83946,19090,35,2302,1237,1181,1140,5,4899,60478,73594,787924,163,3748,1271,5040,10750,91955,503326,5109,9528,15314,1573,77,17773,123615,2704,61,89,1700,78495,958,380509,7216,53019,9,401,2020,116077,13029,20583,341,12242,14866,401,62765,210,4576,60829,1610,48663,86,810,5485,2799,3136,305,30565,26266,37236,54945,465606,987,230057,35638,67360,841,191550,0,0,96,1184,2810,2632,334,1797,28699,25957,4125,325,13462,23624,30381,134733,14,1,39586,143998,105743,664,452,7016,23992,8374,44490,2,6,21,214,13169,94051,657,19883,28544,57502,374,3316,89,45,20,0,6,233,5583,65338,307,864,30593,23393,4788,1714,17539,76,2715,58,21,251,1810,3613,1818,103,588,1703,11139,30383,458,7612,3727,1078,4565,22,48,6,4,24,22,215,138,12164,63970,37,162,34811,219383,80794,18638,184,50,195965,198281,60,93,634,10,3,922,1008,80592,153955,8727,332,781,656,42307,201321,4,100,1233,3683,2747,51,2411,3060,0,559,1849,1,183,535,13586,8855,449767,11743,10314,255,15,24,6,2851,25035,1038,82,2,32,382,197,13157,11193,107428,1415,1573,163186,285548,459,2135,114720,83,181004,256100,1408,3676,19856,38782,30,66,27,720,92242,23405,95046,427,7561,1231,12071,1481,4384,312288,87,3052,8296,12332,30496,198789,921,16592,9024,163688,51518,313104,138487,12299,6604,600,365,6850,68368,814,406297,91,1236,230,4552,41,264,532,341,3820,14317,107078,5225,2060,1793,62287,64483,429235,26912,173186,2789,25238,152517,1279,46379,41,32,1942,12281,113,39505,11425,188526,3289,4121,9825,61249,26,92,29,3,45878,83785,2560,2164,4032,0,1821,1965,1528,4535,427,574,323,2351,200589,187633,6148,132056,177914,149,1072,246,2427,4102,703,219,0,10,82,867,440,716,123996,415296,45,2215,6431,45,62,24,813,308,152307,1343015,49,1876,376650,8,139,255,5256,18266,1120,12350,255,341972,1045816,1157948,5334,101400,653,1113,1,271,44801,60412,2479,19818,31457,15772,3061,10425,165291,487,343,12,54,120,441,33,0,80,124,11,4,2,10,95,7,30,10,15,17339,284662,348,29995,20171,25765,11545,3,20633,12155,14597,72,0,52,21599,9237,39356,227838,13412,29051,26469,169,54392,104837,1,102,282,966,7524,3,160,15756,20006,24321,19,7950,46711,41,59,301,3081,1377,23306,22570,24452,27915,382,81,1301,10026,5561,75945,264887,12579,5436,14911,66578,122,28798,58315,12279,280,1027,1121,208,621330,1498419,137284,1185,12996,21009,49462,2031,22675,24,65,5,6325,57816,12085,122945,5468,4028,167,350,246,94,359,62,646,2642,31,602,414,4838,7707,45141,89077,54454,47,5079,21366,38,323,18338,185,18301,270,80,4,20,186652,727516,212361,4731,6006,41781,347424,347,774,9681,67575,49,239,20004,6167,14366,7430,412,19,1437,2036,14069,860163,29180,5683,593,21884,388,13781,2798,12,3627,1403,332,686,33,5,1,4,3,66032,428234,0,118209,4229,552,44248,341510,390,2489,1494,36,97,1056,5026,62563,378,1579,618,14,205,1,700,11384,5980,7715,122,98330,154634,68452,10,3086,2551,275,2437,60046,148182,45770,3638,407516,827,4,178,719,6728,10275,5051,70345,35075,854,950,11,94,17,0,13,6966,198544,469246,10285,8561,2128,847,0,4628,70283,36156,316567,943328,286898,1804992,3,20,6657,12882,57,3918,3011,26077,246524,180,6,23,38,38258,71073,7,72,15,24,344,4906,9750,520,257,188,2583,2770,38,55,7206,48900,15983,1135,1170,568,16,190,575,12,823,33,1799,1257,127,559,23,182,3,235,287,167,23,9,78,203,2589,2073,4143,48855,174461,626035,735542,231,167
